Epoch 0 | Loss: 5.1590 | Output: 'hfhfhfhfhfhfhfhfhfhfhfhfhfhfhf'
Epoch 0 | Loss: 5.1526 | Output: '............................................................'
Epoch 1 | Loss: 5.1258 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 2 | Loss: 5.1225 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 3 | Loss: 5.1209 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 4 | Loss: 5.1182 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 5 | Loss: 5.1184 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 6 | Loss: 5.1175 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 7 | Loss: 5.1163 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 8 | Loss: 5.1159 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 9 | Loss: 5.1158 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 10 | Loss: 5.1164 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 11 | Loss: 5.1141 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 12 | Loss: 5.1143 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 13 | Loss: 5.1145 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 14 | Loss: 5.1140 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 15 | Loss: 5.1137 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 16 | Loss: 5.1133 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 17 | Loss: 5.1133 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 18 | Loss: 5.1133 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 19 | Loss: 5.1129 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 20 | Loss: 5.1127 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 21 | Loss: 5.1132 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 22 | Loss: 5.1123 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 23 | Loss: 5.1138 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 24 | Loss: 5.1125 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 25 | Loss: 5.1113 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
